35157,長期インターンの1番について詳しく知りたいです。
35159,見つかりましたでしょうか？
35160,こんにちは〜！遅れたんすけど、「LIAR GAME」のような知的冒険プログラム(2Days)気になりまーす！！
35161,こんばんは
35162,わかりました！ありがとうございます！
35164,プール学院大学短期大学部秘書科2年です。
35166,外資コンサルの新卒社員が受けるトレーニング内容や、そこで用いられる資料についてご存じでしたら教えて頂きたいです
35168,商社10社程受けたのですが、どこも一次面接で落ちてしまいます。向いていないのでしょうか。一方でメーカは3社受けて2社最終面接までいきました。
35177,ありがとうございます！紹介します(えへへ)
35179,DI、フロムスクラッチのインターンが終わり、経済産業省が残っています
35190,インターンは参加しないことになりました。
35191,ありがとうございます
35192,承知しました。数多くのアドバイスありがとうございます。
35203,遅くなってしまい申し訳ありません。明日の夕方までにはご連絡するという形でもよろしいでしょうか？
35214,今のところ大丈夫です
35222,そうですか…基本的に関西にいるので東京の長期インターンはどこも厳しいです。
35227,ありがとございます。よろしくお願いいたします。
35229,日野自動車の件、承知致しました。今後選考を受ける予定は無いです。1社内々定を頂き、もう1社も連絡待ちですがおそらく内々定を頂けます。
35232,ありがとうございます！
35234,よろしくお願いいたします
35243,返信ありがとうございます！やはりセミナーになってくるんですね日程の問題でそれには参加できないなでセミナーの方向で検索してみますー！
35244,いまはまだどこにもエントリーしておりません。マツダとファーストリテイリングは最終までいきました。
35251,ありがとうございます！
35254,まだ行けるところがあるんですか？
35262,ありがとうございます。そうです。ただし、日野自動車は内々定を頂いても行かない可能性が高いです。
35270,勤務地は、地方以外でしたら特にこだわりはありません。よろしくお願い致します。
35278,宜しく御願い致します。2017年卒業です。
35285,返信できず申し訳ありません。部活があるので、参加することができません。ご丁寧にご招待いただいたのにもかかわらず、お断りしてしまい申し訳ありません。
35296,スターパートナーズを希望致します。ありがとうございます。応募は個人でサイトから申し込む形でよろしいのでしょうか？
35314,京都住みなので大阪なら交通費支給、東京なら宿泊費と交通費はいただきたいです。それ以外は見て決めたいです！
35318,大丈夫なのでよろしくお願いいたします。
35320,承知しました。日程を調整してまたご連絡します。
35321,はい、短期インターンの一つ目です。詳細お伺いできたら嬉しいです！
35327,そう考えています。夏はどうすればよいのか分からずあまり対策が出来なかったと感じているので、ぜひ教えていただきたいです。
35328,受けている企業は聞かれましたが、志望度は聞かれませんでした。三菱電機です。
35329,ご丁寧にありがとうございました！大変参考になります！
